SME_LOAN_ID_NO,GENDER,MARITAL_STATUS,FAMILY_MEMBERS,QUALIFICATION,EMPLOYMENT,CANDIDATE_INCOME,GUARANTEE_INCOME,LOAN_AMOUNT,LOAN_DURATION,LOAN_HISTORY,LOAN_LOCATION,LOAN_APPROVAL_STATUS
LP001994,Female,Not Married,0,Graduate,No,2400,1863,104,360,0,City,N
LP001996,Male,Not Married,0,Graduate,No,20233,0,480,360,1,Village,N
LP001998,Male,Married,2,Under Graduate,No,7667,0,185,360,,Village,Y
LP002002,Female,Not Married,0,Graduate,No,2917,0,84,360,1,Town,Y
LP002004,Male,Not Married,0,Under Graduate,No,2927,2405,111,360,1,Town,Y
LP002006,Female,Not Married,0,Graduate,No,2507,0,56,360,1,Village,Y
LP002008,Male,Married,2,Graduate,Yes,5746,0,144,84,,Village,Y
LP002024,,Married,0,Graduate,No,2473,1843,159,360,1,Village,N
LP002031,Male,Married,1,Under Graduate,No,3399,1640,111,180,1,City,Y
LP002035,Male,Married,2,Graduate,No,3717,0,120,360,1,Town,Y
LP002036,Male,Married,0,Graduate,No,2058,2134,88,360,,City,Y
LP002043,Female,Not Married,1,Graduate,No,3541,0,112,360,,Town,Y
LP002050,Male,Married,1,Graduate,Yes,10000,0,155,360,1,Village,N
LP002051,Male,Married,0,Graduate,No,2400,2167,115,360,1,Town,Y
LP002053,Male,Married,3+,Graduate,No,4342,189,124,360,1,Town,Y
LP002054,Male,Married,2,Under Graduate,No,3601,1590,,360,1,Village,Y
LP002055,Female,Not Married,0,Graduate,No,3166,2985,132,360,,Village,Y
LP002065,Male,Married,3+,Graduate,No,15000,0,300,360,1,Village,Y
LP002067,Male,Married,1,Graduate,Yes,8666,4983,376,360,0,Village,N
LP002068,Male,Not Married,0,Graduate,No,4917,0,130,360,0,Village,Y
LP002082,Male,Married,0,Graduate,Yes,5818,2160,184,360,1,Town,Y
LP002086,Female,Married,0,Graduate,No,4333,2451,110,360,1,City,N
LP002087,Female,Not Married,0,Graduate,No,2500,0,67,360,1,City,Y
LP002097,Male,Not Married,1,Graduate,No,4384,1793,117,360,1,City,Y
LP002098,Male,Not Married,0,Graduate,No,2935,0,98,360,1,Town,Y
LP002100,Male,Not Married,,Graduate,No,2833,0,71,360,1,City,Y
LP002101,Male,Married,0,Graduate,,63337,0,490,180,1,City,Y
LP002103,,Married,1,Graduate,Yes,9833,1833,182,180,1,City,Y
LP002106,Male,Married,,Graduate,Yes,5503,4490,70,,1,Town,Y
LP002110,Male,Married,1,Graduate,,5250,688,160,360,1,Village,Y
LP002112,Male,Married,2,Graduate,Yes,2500,4600,176,360,1,Village,Y
LP002113,Female,Not Married,3+,Under Graduate,No,1830,0,,360,0,City,N
LP002114,Female,Not Married,0,Graduate,No,4160,0,71,360,1,Town,Y
LP002115,Male,Married,3+,Under Graduate,No,2647,1587,173,360,1,Village,N
LP002116,Female,Not Married,0,Graduate,No,2378,0,46,360,1,Village,N
LP002119,Male,Married,1,Under Graduate,No,4554,1229,158,360,1,City,Y
LP002126,Male,Married,3+,Under Graduate,No,3173,0,74,360,1,Town,Y
LP002128,Male,Married,2,Graduate,,2583,2330,125,360,1,Village,Y
LP002129,Male,Married,0,Graduate,No,2499,2458,160,360,1,Town,Y
LP002130,Male,Married,,Under Graduate,No,3523,3230,152,360,0,Village,N
LP002131,Male,Married,2,Under Graduate,No,3083,2168,126,360,1,City,Y
LP002137,Male,Married,0,Graduate,No,6333,4583,259,360,,Town,Y
LP002138,Male,Married,0,Graduate,No,2625,6250,187,360,1,Village,Y
LP002139,Male,Married,0,Graduate,No,9083,0,228,360,1,Town,Y
LP002140,Male,Not Married,0,Graduate,No,8750,4167,308,360,1,Village,N
LP002141,Male,Married,3+,Graduate,No,2666,2083,95,360,1,Village,Y
LP002142,Female,Married,0,Graduate,Yes,5500,0,105,360,0,Village,N
LP002143,Female,Married,0,Graduate,No,2423,505,130,360,1,Town,Y
LP002144,Female,Not Married,,Graduate,No,3813,0,116,180,1,City,Y
LP002149,Male,Married,2,Graduate,No,8333,3167,165,360,1,Village,Y
LP002151,Male,Married,1,Graduate,No,3875,0,67,360,1,City,N
LP002158,Male,Married,0,Under Graduate,No,3000,1666,100,480,0,City,N
LP002160,Male,Married,3+,Graduate,No,5167,3167,200,360,1,Town,Y
LP002161,Female,Not Married,1,Graduate,No,4723,0,81,360,1,Town,N
LP002170,Male,Married,2,Graduate,No,5000,3667,236,360,1,Town,Y
LP002175,Male,Married,0,Graduate,No,4750,2333,130,360,1,City,Y
LP002178,Male,Married,0,Graduate,No,3013,3033,95,300,,City,Y
LP002180,Male,Not Married,0,Graduate,Yes,6822,0,141,360,1,Village,Y
LP002181,Male,Not Married,0,Under Graduate,No,6216,0,133,360,1,Village,N
LP002187,Male,Not Married,0,Graduate,No,2500,0,96,480,1,Town,N
LP002188,Male,Not Married,0,Graduate,No,5124,0,124,,0,Village,N
LP002190,Male,Married,1,Graduate,No,6325,0,175,360,1,Town,Y
LP002191,Male,Married,0,Graduate,No,19730,5266,570,360,1,Village,N
LP002194,Female,Not Married,0,Graduate,Yes,15759,0,55,360,1,Town,Y
LP002197,Male,Married,2,Graduate,No,5185,0,155,360,1,Town,Y
LP002201,Male,Married,2,Graduate,Yes,9323,7873,380,300,1,Village,Y
LP002205,Male,Not Married,1,Graduate,No,3062,1987,111,180,0,City,N
LP002209,Female,Not Married,0,Graduate,,2764,1459,110,360,1,City,Y
LP002211,Male,Married,0,Graduate,No,4817,923,120,180,1,City,Y
LP002219,Male,Married,3+,Graduate,No,8750,4996,130,360,1,Village,Y
LP002223,Male,Married,0,Graduate,No,4310,0,130,360,,Town,Y
LP002224,Male,Not Married,0,Graduate,No,3069,0,71,480,1,City,N
LP002225,Male,Married,2,Graduate,No,5391,0,130,360,1,City,Y
LP002226,Male,Married,0,Graduate,,3333,2500,128,360,1,Town,Y
LP002229,Male,Not Married,0,Graduate,No,5941,4232,296,360,1,Town,Y
LP002231,Female,Not Married,0,Graduate,No,6000,0,156,360,1,City,Y
LP002234,Male,Not Married,0,Graduate,Yes,7167,0,128,360,1,City,Y
LP002236,Male,Married,2,Graduate,No,4566,0,100,360,1,City,N
LP002237,Male,Not Married,1,Graduate,,3667,0,113,180,1,City,Y
LP002239,Male,Not Married,0,Under Graduate,No,2346,1600,132,360,1,Town,Y
LP002243,Male,Married,0,Under Graduate,No,3010,3136,,360,0,City,N
LP002244,Male,Married,0,Graduate,No,2333,2417,136,360,1,City,Y
LP002250,Male,Married,0,Graduate,No,5488,0,125,360,1,Village,Y
LP002255,Male,Not Married,3+,Graduate,No,9167,0,185,360,1,Village,Y
LP002262,Male,Married,3+,Graduate,No,9504,0,275,360,1,Village,Y
LP002263,Male,Married,0,Graduate,No,2583,2115,120,360,,City,Y
LP002265,Male,Married,2,Under Graduate,No,1993,1625,113,180,1,Town,Y
LP002266,Male,Married,2,Graduate,No,3100,1400,113,360,1,City,Y
LP002272,Male,Married,2,Graduate,No,3276,484,135,360,,Town,Y
LP002277,Female,Not Married,0,Graduate,No,3180,0,71,360,0,City,N
LP002281,Male,Married,0,Graduate,No,3033,1459,95,360,1,City,Y
LP002284,Male,Not Married,0,Under Graduate,No,3902,1666,109,360,1,Village,Y
LP002287,Female,Not Married,0,Graduate,No,1500,1800,103,360,0,Town,N
LP002288,Male,Married,2,Under Graduate,No,2889,0,45,180,0,City,N
LP002296,Male,Not Married,0,Under Graduate,No,2755,0,65,300,1,Village,N
LP002297,Male,Not Married,0,Graduate,No,2500,20000,103,360,1,Town,Y
LP002300,Female,Not Married,0,Under Graduate,No,1963,0,53,360,1,Town,Y
LP002301,Female,Not Married,0,Graduate,Yes,7441,0,194,360,1,Village,N
LP002305,Female,Not Married,0,Graduate,No,4547,0,115,360,1,Town,Y
LP002308,Male,Married,0,Under Graduate,No,2167,2400,115,360,1,City,Y
LP002314,Female,Not Married,0,Under Graduate,No,2213,0,66,360,1,Village,Y
LP002315,Male,Married,1,Graduate,No,8300,0,152,300,0,Town,N
LP002317,Male,Married,3+,Graduate,No,81000,0,360,360,0,Village,N
LP002318,Female,Not Married,1,Under Graduate,Yes,3867,0,62,360,1,Town,N
LP002319,Male,Married,0,Graduate,,6256,0,160,360,,City,Y
LP002328,Male,Married,0,Under Graduate,No,6096,0,218,360,0,Village,N
LP002332,Male,Married,0,Under Graduate,No,2253,2033,110,360,1,Village,Y
LP002335,Female,Married,0,Under Graduate,No,2149,3237,178,360,0,Town,N
LP002337,Female,Not Married,0,Graduate,No,2995,0,60,360,1,City,Y
LP002341,Female,Not Married,1,Graduate,No,2600,0,160,360,1,City,N
LP002342,Male,Married,2,Graduate,Yes,1600,20000,239,360,1,City,N
LP002345,Male,Married,0,Graduate,No,1025,2773,112,360,1,Village,Y
LP002347,Male,Married,0,Graduate,No,3246,1417,138,360,1,Town,Y
LP002348,Male,Married,0,Graduate,No,5829,0,138,360,1,Village,Y
LP002357,Female,Not Married,0,Under Graduate,No,2720,0,80,,0,City,N
LP002361,Male,Married,0,Graduate,No,1820,1719,100,360,1,City,Y
LP002362,Male,Married,1,Graduate,No,7250,1667,110,,0,City,N
LP002364,Male,Married,0,Graduate,No,14880,0,96,360,1,Town,Y
LP002366,Male,Married,0,Graduate,No,2666,4300,121,360,1,Village,Y
LP002367,Female,Not Married,1,Under Graduate,No,4606,0,81,360,1,Village,N
LP002368,Male,Married,2,Graduate,No,5935,0,133,360,1,Town,Y
LP002369,Male,Married,0,Graduate,No,2920,16.12000084,87,360,1,Village,Y
LP002370,Male,Not Married,0,Under Graduate,No,2717,0,60,180,1,City,Y
LP002377,Female,Not Married,1,Graduate,Yes,8624,0,150,360,1,Town,Y
LP002379,Male,Not Married,0,Graduate,No,6500,0,105,360,0,Village,N
LP002386,Male,Not Married,0,Graduate,,12876,0,405,360,1,Town,Y
LP002387,Male,Married,0,Graduate,No,2425,2340,143,360,1,Town,Y
LP002390,Male,Not Married,0,Graduate,No,3750,0,100,360,1,City,Y
LP002393,Female,,,Graduate,No,10047,0,,240,1,Town,Y
LP002398,Male,Not Married,0,Graduate,No,1926,1851,50,360,1,Town,Y
LP002401,Male,Married,0,Graduate,No,2213,1125,,360,1,City,Y
LP002403,Male,Not Married,0,Graduate,Yes,10416,0,187,360,0,City,N
LP002407,Female,Married,0,Under Graduate,Yes,7142,0,138,360,1,Village,Y
LP002408,Male,Not Married,0,Graduate,No,3660,5064,187,360,1,Town,Y
LP002409,Male,Married,0,Graduate,No,7901,1833,180,360,1,Village,Y
LP002418,Male,Not Married,3+,Under Graduate,No,4707,1993,148,360,1,Town,Y
LP002422,Male,Not Married,1,Graduate,No,37719,0,152,360,1,Town,Y
LP002424,Male,Married,0,Graduate,No,7333,8333,175,300,,Village,Y
LP002429,Male,Married,1,Graduate,Yes,3466,1210,130,360,1,Village,Y
LP002434,Male,Married,2,Under Graduate,No,4652,0,110,360,1,Village,Y
LP002435,Male,Married,0,Graduate,,3539,1376,55,360,1,Village,N
LP002443,Male,Married,2,Graduate,No,3340,1710,150,360,0,Village,N
LP002444,Male,Not Married,1,Under Graduate,Yes,2769,1542,190,360,,Town,N
LP002446,Male,Married,2,Under Graduate,No,2309,1255,125,360,0,Village,N
LP002447,Male,Married,2,Under Graduate,No,1958,1456,60,300,,City,Y
LP002448,Male,Married,0,Graduate,No,3948,1733,149,360,0,Village,N
LP002449,Male,Married,0,Graduate,No,2483,2466,90,180,0,Village,Y
LP002453,Male,Not Married,0,Graduate,Yes,7085,0,84,360,1,Town,Y
LP002455,Male,Married,2,Graduate,No,3859,0,96,360,1,Town,Y
LP002459,Male,Married,0,Graduate,No,4301,0,118,360,1,City,Y
LP002467,Male,Married,0,Graduate,No,3708,2569,173,360,1,City,N
LP002472,Male,Not Married,2,Graduate,No,4354,0,136,360,1,Village,Y
LP002473,Male,Married,0,Graduate,No,8334,0,160,360,1,Town,N
LP002478,,Married,0,Graduate,Yes,2083,4083,160,360,,Town,Y
LP002484,Male,Married,3+,Graduate,No,7740,0,128,180,1,City,Y
LP002487,Male,Married,0,Graduate,No,3015,2188,153,360,1,Village,Y
LP002489,Female,Not Married,1,Under Graduate,,5191,0,132,360,1,Town,Y
LP002493,Male,Not Married,0,Graduate,No,4166,0,98,360,0,Town,N
LP002494,Male,Not Married,0,Graduate,No,6000,0,140,360,1,Village,Y
LP002500,Male,Married,3+,Under Graduate,No,2947,1664,70,180,0,City,N
LP002501,,Married,0,Graduate,No,16692,0,110,360,1,Town,Y
LP002502,Female,Married,2,Under Graduate,,210,2917,98,360,1,Town,Y
LP002505,Male,Married,0,Graduate,No,4333,2451,110,360,1,City,N
LP002515,Male,Married,1,Graduate,Yes,3450,2079,162,360,1,Town,Y
LP002517,Male,Married,1,Under Graduate,No,2653,1500,113,180,0,Village,N
LP002519,Male,Married,3+,Graduate,No,4691,0,100,360,1,Town,Y
LP002522,Female,Not Married,0,Graduate,Yes,2500,0,93,360,,City,Y
LP002524,Male,Not Married,2,Graduate,No,5532,4648,162,360,1,Village,Y
LP002527,Male,Married,2,Graduate,Yes,16525,1014,150,360,1,Village,Y
LP002529,Male,Married,2,Graduate,No,6700,1750,230,300,1,Town,Y
LP002530,,Married,2,Graduate,No,2873,1872,132,360,0,Town,N
LP002531,Male,Married,1,Graduate,Yes,16667,2250,86,360,1,Town,Y
LP002533,Male,Married,2,Graduate,No,2947,1603,,360,1,City,N
LP002534,Female,Not Married,0,Under Graduate,No,4350,0,154,360,1,Village,Y
LP002536,Male,Married,3+,Under Graduate,No,3095,0,113,360,1,Village,Y
LP002537,Male,Married,0,Graduate,No,2083,3150,128,360,1,Town,Y
LP002541,Male,Married,0,Graduate,No,10833,0,234,360,1,Town,Y
LP002543,Male,Married,2,Graduate,No,8333,0,246,360,1,Town,Y
LP002544,Male,Married,1,Under Graduate,No,1958,2436,131,360,1,Village,Y
LP002545,Male,Not Married,2,Graduate,No,3547,0,80,360,0,Village,N
LP002547,Male,Married,1,Graduate,No,18333,0,500,360,1,City,N
LP002555,Male,Married,2,Graduate,Yes,4583,2083,160,360,1,Town,Y
LP002556,Male,Not Married,0,Graduate,No,2435,0,75,360,1,City,N
LP002560,Male,Not Married,0,Under Graduate,No,2699,2785,96,360,,Town,Y
LP002562,Male,Married,1,Under Graduate,No,5333,1131,186,360,,City,Y
LP002571,Male,Not Married,0,Under Graduate,No,3691,0,110,360,1,Village,Y
LP002582,Female,Not Married,0,Under Graduate,Yes,17263,0,225,360,1,Town,Y
LP002585,Male,Married,0,Graduate,No,3597,2157,119,360,0,Village,N
LP002586,Female,Married,1,Graduate,No,3326,913,105,84,1,Town,Y
LP002587,Male,Married,0,Under Graduate,No,2600,1700,107,360,1,Village,Y
LP002588,Male,Married,0,Graduate,No,4625,2857,111,12,,City,Y
LP002600,Male,Married,1,Graduate,Yes,2895,0,95,360,1,Town,Y
LP002602,Male,Not Married,0,Graduate,No,6283,4416,209,360,0,Village,N
LP002603,Female,Not Married,0,Graduate,No,645,3683,113,480,1,Village,Y
LP002606,Female,Not Married,0,Graduate,No,3159,0,100,360,1,Town,Y
LP002615,Male,Married,2,Graduate,No,4865,5624,208,360,1,Town,Y
LP002618,Male,Married,1,Under Graduate,No,4050,5302,138,360,,Village,N
LP002619,Male,Married,0,Under Graduate,No,3814,1483,124,300,1,Town,Y
LP002622,Male,Married,2,Graduate,No,3510,4416,243,360,1,Village,Y
LP002624,Male,Married,0,Graduate,No,20833,6667,480,360,,City,Y
LP002625,,Not Married,0,Graduate,No,3583,0,96,360,1,City,N
LP002626,Male,Married,0,Graduate,Yes,2479,3013,188,360,1,City,Y
LP002634,Female,Not Married,1,Graduate,No,13262,0,40,360,1,City,Y
LP002637,Male,Not Married,0,Under Graduate,No,3598,1287,100,360,1,Village,N
LP002640,Male,Married,1,Graduate,No,6065,2004,250,360,1,Town,Y
LP002643,Male,Married,2,Graduate,No,3283,2035,148,360,1,City,Y
LP002648,Male,Married,0,Graduate,No,2130,6666,70,180,1,Town,N
LP002652,Male,Not Married,0,Graduate,No,5815,3666,311,360,1,Village,N
LP002659,Male,Married,3+,Graduate,No,3466,3428,150,360,1,Village,Y
LP002670,Female,Married,2,Graduate,No,2031,1632,113,480,1,Town,Y
LP002682,Male,Married,,Under Graduate,No,3074,1800,123,360,0,Town,N
LP002683,Male,Not Married,0,Graduate,No,4683,1915,185,360,1,Town,N
LP002684,Female,Not Married,0,Under Graduate,No,3400,0,95,360,1,Village,N
LP002689,Male,Married,2,Under Graduate,No,2192,1742,45,360,1,Town,Y
LP002690,Male,Not Married,0,Graduate,No,2500,0,55,360,1,Town,Y
LP002692,Male,Married,3+,Graduate,Yes,5677,1424,100,360,1,Village,Y
LP002693,Male,Married,2,Graduate,Yes,7948,7166,480,360,1,Village,Y
LP002697,Male,Not Married,0,Graduate,No,4680,2087,,360,1,Town,N
LP002699,Male,Married,2,Graduate,Yes,17500,0,400,360,1,Village,Y
LP002705,Male,Married,0,Graduate,No,3775,0,110,360,1,Town,Y
LP002706,Male,Married,1,Under Graduate,No,5285,1430,161,360,0,Town,Y
LP002714,Male,Not Married,1,Under Graduate,No,2679,1302,94,360,1,Town,Y
LP002716,Male,Not Married,0,Under Graduate,No,6783,0,130,360,1,Town,Y
LP002717,Male,Married,0,Graduate,No,1025,5500,216,360,,Village,Y
LP002720,Male,Married,3+,Graduate,No,4281,0,100,360,1,City,Y
LP002723,Male,Not Married,2,Graduate,No,3588,0,110,360,0,Village,N
LP002729,Male,Not Married,1,Graduate,No,11250,0,196,360,,Town,N
LP002731,Female,Not Married,0,Under Graduate,Yes,18165,0,125,360,1,City,Y
LP002732,Male,Not Married,0,Under Graduate,,2550,2042,126,360,1,Village,Y
LP002734,Male,Married,0,Graduate,No,6133,3906,324,360,1,City,Y
LP002738,Male,Not Married,2,Graduate,No,3617,0,107,360,1,Town,Y
LP002739,Male,Married,0,Under Graduate,No,2917,536,66,360,1,Village,N
LP002740,Male,Married,3+,Graduate,No,6417,0,157,180,1,Village,Y
LP002741,Female,Married,1,Graduate,No,4608,2845,140,180,1,Town,Y
LP002743,Female,Not Married,0,Graduate,No,2138,0,99,360,0,Town,N
LP002753,Female,Not Married,1,Graduate,,3652,0,95,360,1,Town,Y
LP002755,Male,Married,1,Under Graduate,No,2239,2524,128,360,1,City,Y
LP002757,Female,Married,0,Under Graduate,No,3017,663,102,360,,Town,Y
LP002767,Male,Married,0,Graduate,No,2768,1950,155,360,1,Village,Y
LP002768,Male,Not Married,0,Under Graduate,No,3358,0,80,36,1,Town,N
LP002772,Male,Not Married,0,Graduate,No,2526,1783,145,360,1,Village,Y
LP002776,Female,Not Married,0,Graduate,No,5000,0,103,360,0,Town,N
LP002777,Male,Married,0,Graduate,No,2785,2016,110,360,1,Village,Y
LP002778,Male,Married,2,Graduate,Yes,6633,0,,360,0,Village,N
LP002784,Male,Married,1,Under Graduate,No,2492,2375,,360,1,Village,Y
LP002785,Male,Married,1,Graduate,No,3333,3250,158,360,1,City,Y
LP002788,Male,Married,0,Under Graduate,No,2454,2333,181,360,0,City,N
LP002789,Male,Married,0,Graduate,No,3593,4266,132,180,0,Village,N
LP002792,Male,Married,1,Graduate,No,5468,1032,26,360,1,Town,Y
LP002794,Female,Not Married,0,Graduate,No,2667,1625,84,360,,City,Y
LP002795,Male,Married,3+,Graduate,Yes,10139,0,260,360,1,Town,Y
LP002798,Male,Married,0,Graduate,No,3887,2669,162,360,1,Town,Y
LP002804,Female,Married,0,Graduate,No,4180,2306,182,360,1,Town,Y
LP002807,Male,Married,2,Under Graduate,No,3675,242,108,360,1,Town,Y
LP002813,Female,Married,1,Graduate,Yes,19484,0,600,360,1,Town,Y
LP002820,Male,Married,0,Graduate,No,5923,2054,211,360,1,Village,Y
LP002821,Male,Not Married,0,Under Graduate,Yes,5800,0,132,360,1,Town,Y
LP002832,Male,Married,2,Graduate,No,8799,0,258,360,0,City,N
LP002833,Male,Married,0,Under Graduate,No,4467,0,120,360,,Village,Y
LP002836,Male,Not Married,0,Graduate,No,3333,0,70,360,1,City,Y
LP002837,Male,Married,3+,Graduate,No,3400,2500,123,360,0,Village,N
LP002840,Female,Not Married,0,Graduate,No,2378,0,9,360,1,City,N
LP002841,Male,Married,0,Graduate,No,3166,2064,104,360,0,City,N
LP002842,Male,Married,1,Graduate,No,3417,1750,186,360,1,City,Y
LP002847,Male,Married,,Graduate,No,5116,1451,165,360,0,City,N
LP002855,Male,Married,2,Graduate,No,16666,0,275,360,1,City,Y
LP002862,Male,Married,2,Under Graduate,No,6125,1625,187,480,1,Town,N
LP002863,Male,Married,3+,Graduate,No,6406,0,150,360,1,Town,N
LP002868,Male,Married,2,Graduate,No,3159,461,108,84,1,City,Y
LP002872,,Married,0,Graduate,No,3087,2210,136,360,0,Town,N
LP002874,Male,Not Married,0,Graduate,No,3229,2739,110,360,1,City,Y
LP002877,Male,Married,1,Graduate,No,1782,2232,107,360,1,Village,Y
LP002888,Male,Not Married,0,Graduate,,3182,2917,161,360,1,City,Y
LP002892,Male,Married,2,Graduate,No,6540,0,205,360,1,Town,Y
LP002893,Male,Not Married,0,Graduate,No,1836,33837,90,360,1,City,N
LP002894,Female,Married,0,Graduate,No,3166,0,36,360,1,Town,Y
LP002898,Male,Married,1,Graduate,No,1880,0,61,360,,Village,N
LP002911,Male,Married,1,Graduate,No,2787,1917,146,360,0,Village,N
LP002912,Male,Married,1,Graduate,No,4283,3000,172,84,1,Village,N
LP002916,Male,Married,0,Graduate,No,2297,1522,104,360,1,City,Y
LP002917,Female,Not Married,0,Under Graduate,No,2165,0,70,360,1,Town,Y
LP002925,,Not Married,0,Graduate,No,4750,0,94,360,1,Town,Y
LP002926,Male,Married,2,Graduate,Yes,2726,0,106,360,0,Town,N
LP002928,Male,Married,0,Graduate,No,3000,3416,56,180,1,Town,Y
LP002931,Male,Married,2,Graduate,Yes,6000,0,205,240,1,Town,N
LP002933,,Not Married,3+,Graduate,Yes,9357,0,292,360,1,Town,Y
LP002936,Male,Married,0,Graduate,No,3859,3300,142,180,1,Village,Y
LP002938,Male,Married,0,Graduate,Yes,16120,0,260,360,1,City,Y
LP002940,Male,Not Married,0,Under Graduate,No,3833,0,110,360,1,Village,Y
LP002941,Male,Married,2,Under Graduate,Yes,6383,1000,187,360,1,Village,N
LP002943,Male,Not Married,,Graduate,No,2987,0,88,360,0,Town,N
LP002945,Male,Married,0,Graduate,Yes,9963,0,180,360,1,Village,Y
LP002948,Male,Married,2,Graduate,No,5780,0,192,360,1,City,Y
LP002949,Female,Not Married,3+,Graduate,,416,41667,350,180,,City,N
LP002950,Male,Married,0,Under Graduate,,2894,2792,155,360,1,Village,Y
LP002953,Male,Married,3+,Graduate,No,5703,0,128,360,1,City,Y
LP002958,Male,Not Married,0,Graduate,No,3676,4301,172,360,1,Village,Y
LP002959,Female,Married,1,Graduate,No,12000,0,496,360,1,Town,Y
LP002960,Male,Married,0,Under Graduate,No,2400,3800,,180,1,City,N
LP002961,Male,Married,1,Graduate,No,3400,2500,173,360,1,Town,Y
LP002964,Male,Married,2,Under Graduate,No,3987,1411,157,360,1,Village,Y
LP002974,Male,Married,0,Graduate,No,3232,1950,108,360,1,Village,Y
LP002978,Female,Not Married,0,Graduate,No,2900,0,71,360,1,Village,Y
LP002979,Male,Married,3+,Graduate,No,4106,0,40,180,1,Village,Y
LP002983,Male,Married,1,Graduate,No,8072,240,253,360,1,City,Y
LP002984,Male,Married,2,Graduate,No,7583,0,187,360,1,City,Y
LP002990,Female,Not Married,0,Graduate,Yes,4583,0,133,360,0,Town,N
